,x0,x1,x2,x3,char
0,2.74,3.6,5.15,6.86,A
1,0.16,1.08,-0.01,3.98,D
2,-0.31,0.75,1.2,3.21,D
3,3.01,5.19,4.6,5.5,B
4,2.8,4.8,5.24,7.28,A
5,2.02,5.14,3.62,5.91,A
6,9.25,7.5,3.19,7.74,B
7,1.07,3.26,5.42,7.0,A
8,4.03,9.11,3.49,2.89,C
9,3.64,6.22,2.86,4.43,B
10,4.94,6.93,3.24,7.45,C
11,2.4,6.11,4.69,6.05,C
12,5.49,6.33,4.2,7.87,B
13,3.64,5.16,4.16,6.04,A
14,2.4,1.94,0.05,1.99,D
15,4.46,7.84,1.94,4.06,C
16,3.17,7.82,5.09,5.11,C
17,2.28,2.54,0.64,4.66,D
18,3.72,5.45,4.09,6.68,B
19,2.25,3.43,6.69,7.47,A
20,4.41,8.24,1.85,5.83,C
21,3.47,4.1,6.02,8.14,A
22,4.51,8.62,2.46,3.2,C
23,4.14,7.76,4.16,6.3,C
24,4.26,6.03,4.13,7.44,B
25,2.59,2.9,1.57,3.36,D
26,2.53,3.0,3.37,5.89,A
27,3.78,5.2,4.18,7.19,B
28,4.99,7.85,2.44,4.46,C
29,-0.5,0.56,-0.05,4.11,D
30,2.69,5.7,3.82,4.79,B
31,0.2,0.92,1.34,4.06,D
32,3.58,7.98,2.68,3.23,C
33,1.37,3.33,3.82,6.7,A
34,1.24,5.56,5.85,8.32,A
35,0.74,1.08,2.03,5.68,D
36,5.43,6.22,2.64,7.31,B
37,6.45,5.57,1.61,6.07,B
38,1.21,2.21,1.42,3.3,D
39,3.59,7.89,2.92,6.15,C
40,4.25,5.34,1.59,5.06,C
41,4.89,5.79,5.02,6.37,B
42,2.8,6.19,5.14,5.06,B
43,4.62,3.04,4.01,9.59,A
44,0.87,6.05,6.54,5.61,A
45,2.42,5.85,3.75,6.17,B
46,0.04,2.27,2.48,5.48,D
47,2.82,6.44,5.02,6.18,B
48,2.32,0.43,0.55,3.96,D
49,2.25,6.47,3.48,5.58,B
50,5.86,6.08,3.77,6.2,B
51,1.08,1.72,1.49,3.35,D
52,3.82,8.96,3.39,3.47,C
53,2.05,7.23,5.84,4.48,B
54,4.75,6.34,1.13,4.54,B
55,3.8,0.51,1.58,5.5,D
56,2.89,3.93,3.43,5.91,A
57,2.57,7.46,4.51,4.63,C
58,2.93,7.83,2.12,4.06,C
59,3.19,4.3,4.52,5.3,A
60,4.42,7.02,3.69,3.9,B
61,0.72,2.08,1.91,2.94,D
62,4.94,6.29,2.17,4.91,B
63,2.16,2.51,2.92,7.74,A
64,3.28,6.04,3.36,4.17,B
65,3.81,9.25,4.05,3.16,C
66,0.73,0.74,1.41,4.64,D
67,4.59,3.46,3.78,8.32,A
68,1.39,0.57,-1.0,5.24,D
69,3.5,7.32,5.15,5.05,C
70,1.2,1.9,1.31,3.31,D
71,4.37,9.03,3.63,4.23,C
72,1.96,2.25,1.54,4.35,D
73,3.21,2.8,4.44,6.17,A
74,3.51,7.98,2.96,3.1,C
75,0.7,1.31,2.98,5.68,D
76,-0.1,1.32,1.91,4.4,D
77,4.07,6.97,5.31,6.26,B
78,5.3,5.45,2.3,6.14,B
79,5.24,7.51,0.93,5.68,C
80,0.77,2.6,4.78,4.74,D
81,5.13,8.08,2.17,4.46,C
82,3.64,9.67,3.82,4.57,C
83,2.52,7.23,1.98,5.78,C
84,1.56,4.35,6.26,5.1,A
85,0.87,1.49,0.25,4.2,D
86,3.11,9.0,4.26,3.65,C
87,2.58,3.65,7.14,8.36,A
88,6.18,8.43,2.71,6.08,C
89,3.58,3.55,6.07,7.56,A
90,1.19,1.34,-0.76,4.15,D
91,0.98,3.43,1.76,3.92,D
92,3.63,5.75,3.83,6.78,B
93,2.72,4.66,6.27,6.31,A
94,4.32,5.61,4.66,5.07,B
95,1.41,1.97,1.6,5.45,D
96,3.05,6.97,5.61,4.05,B
97,6.27,5.46,4.12,6.78,B
98,2.83,7.39,2.17,5.9,C
99,2.83,5.75,5.88,6.5,B
100,4.33,5.68,3.9,6.34,B
101,3.17,4.95,4.47,5.27,B
102,3.43,7.67,2.49,5.94,C
103,3.54,8.35,4.95,5.3,C
104,3.63,2.99,4.87,8.94,A
105,3.39,5.33,4.8,7.19,B
106,4.45,6.38,3.57,5.96,B
107,-0.04,1.22,3.95,5.91,D
108,5.37,7.63,3.81,3.39,B
109,3.23,4.97,4.09,6.45,B
110,0.05,8.37,3.96,3.35,C
111,2.0,3.57,4.97,4.98,A
112,0.75,4.39,7.87,7.09,A
113,1.26,0.21,0.24,5.56,D
114,0.23,1.64,-0.23,3.74,D
115,4.63,4.4,5.72,7.92,A
116,1.57,2.84,3.12,7.86,A
117,3.63,1.79,-0.27,4.45,D
118,2.88,2.93,4.49,7.42,A
119,4.83,5.2,4.39,7.4,B
120,4.27,10.13,2.56,3.86,C
121,2.94,7.1,2.62,4.46,C
122,1.04,2.89,5.5,6.14,A
123,-1.94,2.16,2.9,2.66,D
124,2.23,3.85,5.56,7.02,A
125,5.87,6.47,4.28,7.6,B
126,2.62,8.8,2.06,4.01,C
127,2.92,4.51,4.65,7.59,A
128,4.44,4.05,4.61,5.39,A
129,2.83,6.5,1.05,5.4,B
130,2.86,0.2,1.77,6.28,D
131,-0.85,2.0,1.44,3.77,D
132,3.27,3.84,3.05,6.6,A
133,5.76,6.09,1.79,7.52,B
134,1.38,1.48,1.82,3.46,D
135,3.54,3.24,4.43,7.51,A
136,5.9,8.04,4.31,5.24,C
137,3.6,5.44,3.46,5.97,B
138,4.96,7.84,3.66,4.41,B
139,2.06,7.95,3.12,3.77,C
