,x0,x1,x2,x3,x4,char
0,-0.39,2.18,1.46,-1.22,1.32,A
1,2.23,-1.06,1.69,3.28,-1.3,B
2,-1.31,-2.88,-2.59,-1.7,-1.65,B
3,-0.43,-0.94,-0.69,-0.66,-0.59,B
4,1.22,-1.5,0.55,1.82,-1.36,C
5,-0.25,-0.99,1.13,-1.44,-1.24,A
6,-2.54,-3.05,-3.23,-3.87,-1.66,B
7,0.6,-1.49,1.49,-0.03,-1.72,A
8,-0.81,-0.26,-2.25,-0.32,0.48,C
9,-0.75,-0.84,0.72,-2.17,-1.0,A
10,1.59,2.28,1.35,2.94,1.58,C
11,2.1,1.43,2.06,3.34,0.67,B
12,-0.42,1.01,1.73,-1.72,0.23,A
13,-0.08,2.31,0.82,-0.15,1.66,A
14,1.87,2.32,1.75,3.26,1.5,C
15,-0.25,-0.31,0.75,-1.05,-0.54,A
16,-0.38,-2.19,-0.06,-1.23,-1.85,C
17,0.91,0.84,0.78,1.57,0.51,B
18,-0.5,0.25,1.38,-1.84,-0.3,A
19,-0.57,1.95,-0.68,-0.31,1.84,B
20,-1.38,-1.45,-1.67,-2.11,-0.76,B
21,-0.82,-1.32,-1.48,-1.06,-0.67,B
22,-0.77,-0.78,1.86,-2.92,-1.34,A
23,0.63,1.72,0.2,1.55,1.43,B
24,1.68,-1.7,3.44,0.92,-2.47,A
25,0.45,-1.72,1.64,-0.49,-1.98,A
26,1.07,2.49,0.51,2.42,2.0,C
27,0.14,1.28,-0.45,0.85,1.24,C
28,-0.24,-1.22,-0.16,-0.67,-0.99,A
29,0.52,-0.6,0.88,0.37,-0.77,A
30,-1.73,-0.46,-3.95,-1.18,0.83,C
31,0.26,0.06,0.94,-0.05,-0.25,B
32,-0.08,2.08,0.72,-0.16,1.5,A
33,-0.87,0.34,-2.87,0.09,1.2,C
34,-0.58,-0.62,-0.79,-0.82,-0.29,B
35,0.14,-0.81,-1.07,0.78,-0.31,C
36,1.06,-1.25,0.33,1.69,-1.09,C
37,0.42,0.65,0.64,0.61,0.36,B
38,0.75,1.55,2.26,0.48,0.59,B
39,-1.55,-0.11,-3.44,-1.05,0.96,C
40,0.35,0.92,0.17,0.81,0.74,B
41,-0.65,1.65,1.91,-2.16,0.7,A
42,0.64,-2.44,0.98,0.15,-2.34,A
43,-1.17,-1.71,-1.74,-1.7,-0.94,B
44,0.6,0.32,0.5,0.99,0.15,B
45,-1.76,-2.61,-2.68,-2.51,-1.42,B
46,-0.49,1.04,0.86,-1.32,0.55,A
47,1.76,2.03,1.62,3.06,1.29,C
48,-0.63,-0.82,-0.83,-0.96,-0.46,B
49,-0.29,-1.44,-1.08,-0.24,-0.87,B
50,-2.45,-0.6,-4.95,-2.06,0.99,C
51,-0.12,-0.87,-0.69,-0.01,-0.51,C
52,-0.4,0.83,0.57,-1.0,0.48,A
53,-1.45,0.55,0.25,-3.01,0.27,A
54,-0.86,-1.55,-1.42,-1.21,-0.89,B
55,-1.01,-1.04,-1.04,-1.65,-0.59,B
56,0.45,1.24,0.1,1.13,1.04,A
57,2.4,-0.1,3.33,2.82,-1.04,B
58,0.99,1.6,0.34,2.18,1.31,C
59,1.42,0.5,1.67,1.98,-0.04,B
60,0.41,2.65,0.37,1.2,2.14,B
